matrix,matrix_domain,matrix_m,matrix_n,matrix_name,matrix_nnz,matrix_size,normal_spmv_time,oski_mean_max_error,oski_mean_spmv_time,oski_mean_time,phil_mean_max_error,phil_mean_spmv_time,phil_mean_time,pphil_mean_max_error,pphil_mean_spmv_time,pphil_mean_time
af_shell10_conv,Structural,1508065,1508065,af_shell10,52672325,1953468435,0.018757769900000002,0.004437874413012586,0.011526533639999996,1.14261336177,0.025625183423510098,0.011526533639999996,0.02772679991,0.025049700915055127,0.011526533639999996,0.0031977317
pathological_phil,Synthetic,120000,120000,pathological_PHIL,14499856,495184416,0.0051928268500000012,0.042002399885032765,0.0022858653099999994,0.29898911357,0.0439358662922236,0.0022858653099999994,0.029587204960000002,0.04807994897930308,0.0022858653099999994,0.0035586868400000003
kron_g500-logn17_conv,Graph,131072,131072,kron_g500-logn17,10228360,350580543,0.0058554081800000005,0.04436568318674085,0.005855408179999999,0.23410296766000002,0.004325515583222634,0.005855408179999999,0.023266983340000002,0.004669510240582153,0.005855408179999999,0.0026908776500000004
nasasrb_conv,Structural,54870,54870,nasasrb,2677324,91141364,0.00025624307000000001,0.044625669384218025,0.00015606373,0.05410565388,0.01963997461210373,0.00015606373,0.02621529818,0.01955883731974102,0.00015606373,0.0024727003300000004
rail4284_conv,Linear Programming,1096894,4284,rail4284,11284032,381165123,0.0060173855500000005,0.35900746277479056,0.005622680313500002,0.29685768692000003,0.01794276386108226,0.005597162840000002,0.034094630460000004,0.01755844024366537,0.005597162840000002,0.00351059814
pdb1HYS_conv,Graph,36417,36417,pdb1HYS,4344765,148013404,0.00094096226000000009,0.041118984071893294,0.0005656408000000002,0.09011942073,0.024287481895689425,0.0005656408000000002,0.03028273457,0.023354563322310975,0.0005656408000000002,0.0027937019000000003
F1_conv,Structural,343791,343791,F1,26837113,962345101,0.011860881260000001,0.01981002130183581,0.00840690482,0.57907107246,0.019085132077940527,0.00840690482,0.03217285828,0.019906610535837276,0.00840690482,0.00405042247
troll_conv,Structural,213453,213453,troll,11985111,419033501,0.0046222260899999998,0.03203414913318602,0.0024616866999999996,0.24219393582,0.024246860820080766,0.0024616866999999996,0.02893402854,0.0241853812206501,0.0024616866999999996,0.00299791387
pwtk_conv,Structural,217918,217918,pwtk,11634424,412785929,0.0040898615600000006,0.01801683672065851,0.0028452892140000004,0.23372894500000002,0.03410501886619721,0.0027825911720000007,0.02665007085,0.03484090197572851,0.0027711915280000006,0.0030045755000000004
boneS10_conv,Model Reduction Problem,914898,914898,boneS10,55468422,2008964607,0.01835949311,0.009587296963640073,0.011672515929999999,1.20017685295,0.02757693512076315,0.011672515929999999,0.03159124503,0.0274330980000449,0.011672515929999999,0.0033098127100000003
kkt_power_conv,Power Network,2063494,2063494,kkt_power,14612663,539458399,0.0096496988100000011,0.013994077226425518,0.00964969881,0.45475622512,0.00832078951842187,0.00964969881,0.02366192458,0.008900740806310686,0.00964969881,0.00225632324
in2010_conv,Graph,267071,267071,in2010,1281716,45076214,0.00036309792000000001,0.015188595990370458,0.00036309792,0.03639136643,0.007706338428684463,0.00036309792,0.02180700985,0.00785626438524408,0.00036309792,0.00199564106
pathological_oski,Synthetic,1000000,1000000,pathological_OSKI,6999994,216222188,0.010346036440000001,3.666668888891852,0.0073948862334999995,0.18807441015,0.01204350234141059,0.00728481171,0.024713340330000003,0.0127904883950958,0.00728481171,0.00279563375
fcondp2_conv,Structural,201822,201822,fcondp2,11294316,393880319,0.0045865212200000005,0.02951004157702135,0.0022415378499999997,0.22577998706000002,0.022388132274865576,0.0022415378499999997,0.028378316150000003,0.023307887990003412,0.0022415378499999997,0.0026219614200000004
fem_hifreq_circuit_conv,Electromagnetics,491100,491100,fem_hifreq_circuit,20239237,725640631,0.0079638196400000014,0.014894834726747921,0.004820075940000001,0.44082996851000006,0.015981069680973684,0.004820075940000001,0.027096272370000004,0.0156696187619955,0.004820075940000001,0.00306207355
nd6k_conv,2D/3D Problem,18000,18000,nd6k,6897316,228193610,0.0027147274800000004,0.027633091898592567,0.0016028916699999994,0.15007100518000002,0.03208343108963907,0.0016028916699999994,0.033986260500000004,0.031958467522334305,0.0016028916699999994,0.00376952061
spal_004_conv,Linear Programming,321696,10203,spal,46168124,1549783502,0.017071621330000002,0.025863501556177938,0.012249234450000005,1.0319770814,0.01545347268100802,0.012249234450000005,0.051074235550000006,0.015796890486045514,0.012249234450000005,0.005543580970000001
fl2010_conv,Graph,484481,484481,fl2010,2346294,83383318,0.00076173804000000014,0.009435403649947138,0.0007617380400000003,0.0641903118,0.00684166766480944,0.0007617380400000003,0.021818764290000004,0.006823373882040195,0.0007617380400000003,0.00200161425
crankseg_1_conv,Structural,52804,52804,crankseg_1,10614210,360189241,0.0019448712600000002,0.05054778341667876,0.00228736957,0.22910898413000003,0.024647662421606348,0.00228736957,0.03005195885,0.024569206515750147,0.00228736957,0.002944022
flickr_conv,Graph,820878,820878,flickr,9837214,338243604,0.02480230177,0.040448635497939804,0.024802301769999997,0.27853594874000004,0.0069825478414822974,0.024802301769999997,0.024869913860000002,0.006743034032404149,0.024802301769999997,0.00240756333
bmw7st_1_conv,Structural,141347,141347,bmw7st_1,7339667,256271378,0.0026352675500000001,0.03943505210193909,0.0014599376499999997,0.15300807621,0.026418378968425513,0.0014599376499999997,0.027771182420000002,0.026305946376822244,0.0014599376499999997,0.0030125667300000005
gearbox_conv,Structural,153746,153746,gearbox,9080404,313052592,0.0035552253100000005,0.03720879607609815,0.0019200354799999997,0.18343874286000003,0.022307295161493098,0.0019200354799999997,0.028853428610000002,0.022272916954560733,0.0019200354799999997,0.00287151659
BenElechi1_conv,2D/3D Problem,245874,245874,BenElechi1,13150496,467816825,0.00527412592,0.011681909640169267,0.0030085564599999985,0.25644302285000004,0.022902008571640323,0.0030085564599999985,0.02637735651,0.023315517417988933,0.0030085564599999985,0.0026109595
nd3k_conv,2D/3D Problem,9000,9000,nd3k,3279690,105547522,0.00041339531000000006,0.03905512022118225,0.00044462622,0.0711084411,0.031385107995876835,0.00044462622,0.03332303535,0.030363727510153163,0.00044462622,0.00372233946
af_shell9_conv,Structural,504855,504855,af_shell9,17588875,635349559,0.0069929424400000002,0.007886654740838401,0.003117553830000001,0.35844311238000004,0.025246386421115544,0.003117553830000001,0.026327596170000002,0.025277739433399324,0.003117553830000001,0.0030182341100000003
ok2010_conv,Graph,269118,269118,ok2010,1274148,44823434,0.00036735594000000002,0.012624584458092766,0.00036735594,0.03533084612,0.006824960000326784,0.00036735594,0.02169918161,0.006644001997137672,0.00036735594,0.0019835813200000003
s3dkt3m2_conv,Structural,90449,90449,s3dkt3m2,3753461,128565796,0.00069646897000000003,0.02131662135280055,0.00031993513999999996,0.07595690736,0.03244093381125578,0.00031993513999999996,0.02421677418,0.03464337896442816,0.00031993513999999996,0.00281703843
nd24k_conv,2D/3D Problem,72000,72000,nd24k,28715634,979816003,0.0055312780500000004,0.016918722319671432,0.011593407959999998,0.62204356074,0.03185353777022368,0.011593407959999998,0.04664863448,0.03124088362630343,0.011593407959999998,0.005188953820000001
ct20stif_conv,Structural,52329,52329,ct20stif,2698463,91956108,0.00042951242000000001,0.06537993109196744,0.00017875548000000004,0.0559944002,0.025975611699942686,0.00017875548000000004,0.027871728340000002,0.026582162902153948,0.00017875548000000004,0.0025341108000000003
gupta1_conv,Linear Programming,31802,31802,gupta1,2164210,71352768,0.00058182804,0.5107156308601188,0.00058340588,0.050092942380000005,0.023369761393331558,0.00058340588,0.028881041090000004,0.02414202224943648,0.00058340588,0.0030573815000000002
TSOPF_RS_b2383_conv,Power Network,38120,38120,TSOPF_RS_b2383,16171169,552001440,0.0065413083400000004,0.0750001951845162,0.00296386686,0.31271056843,0.04092776661435868,0.00296386686,0.03648215525,0.03605021155205857,0.00296386686,0.00401844694
hugetric-00010_conv,Graph,6592765,6592765,hugetric-00010,19771708,744661825,0.018196990919999999,0.005202768103402223,0.018196990919999993,1.1706184158100001,0.009628322755045238,0.018196990919999993,0.023344451420000002,0.009505921406417896,0.018196990919999993,0.0023283814800000003
ship_001_conv,Structural,34920,34920,ship_001,4644230,157035896,0.00087466633000000005,0.06426782940345308,0.00060295873,0.09751520709000001,0.02908059149446372,0.00060295873,0.027310996000000004,0.0292160214140023,0.00060295873,0.0025482301500000006
degme_conv,Linear Programming,659415,185501,degme,8127528,290454844,0.0036419535600000002,0.07654613692706676,0.0036348859865000015,0.19748873869,0.016131409237758194,0.0036419535600000015,0.026955791390000004,0.017085796939583172,0.0036419535600000015,0.0029500801200000003
atmosmodl_conv,Computational Fluid Dynamics,1489752,1489752,atmosmodl,10319760,378309913,0.0050505758600000008,0.0077427115839665064,0.005392074820000002,0.32036057007,0.023301174602424687,0.005392074820000002,0.02142675246,0.02381780084433451,0.005392074820000002,0.00206767642
largebasis_conv,Mathematical Optimization,440020,440020,largebasis,5560100,199715066,0.0022923309100000002,0.015712192612145726,0.0014048995300000003,0.12554501348,0.027042975008701998,0.0014048995300000003,0.023219693920000003,0.02467266483238481,0.0014048995300000003,0.00211670651
halfb_conv,Structural,224617,224617,halfb,12387821,434228827,0.00244384067,0.030264128205414527,0.0020326661699999996,0.25397442542,0.02714783661815555,0.0020326661699999996,0.028505450300000002,0.02671986569684177,0.0020326661699999996,0.00328375501
ldoor_conv,Structural,952203,952203,ldoor,46522475,1684290719,0.015610063240000001,0.01240562434595622,0.0086112496,1.00567723721,0.024493996803142026,0.0086112496,0.030442221860000004,0.024131660464853343,0.0086112496,0.00335849662
3dtube_conv,Computational Fluid Dynamics,45330,45330,3dtube,3213618,107752876,0.00039620357000000003,0.07384281333648024,0.00019247545000000002,0.06656860452,0.024776339591885896,0.00019247545000000002,0.02553467495,0.022883188212968548,0.00019247545000000002,0.0026978873000000005
exdata_1_conv,Mathematical Optimization,6001,6001,exdata_1,2269501,72623456,0.00049716397000000004,5.051788537112961,0.00030359491119999997,0.043855007110000004,0.03300510771108423,0.0003151978,0.02908331816,0.031334983744956905,0.0003151978,0.00321685055
pds-100_conv,Linear Programming,514577,156243,pds-100,1096002,38969693,0.00030807452000000001,0.027471130750968843,0.00030807451999999996,0.02797111369,0.004038761973027621,0.00030807451999999996,0.02118737868,0.003967186290219054,0.00030807451999999996,0.00194227418
kim2_conv,2D/3D Problem,456976,456976,kim2,11330020,402487148,0.0045257750100000001,0.006147487654174898,0.0028403933500000017,0.24630038747,0.03466396234543703,0.0028403933500000017,0.02338339109,0.03474483258561825,0.0028403933500000017,0.0022615168800000003
Emilia_923_conv,Structural,923136,923136,Emilia_923,41005206,1487924489,0.014842881110000001,0.01061478333132251,0.009688462009999997,0.90357829457,0.021107206719223583,0.009688462009999997,0.029346468690000002,0.02115680961400976,0.009688462009999997,0.00288888635
mip1_conv,Optimization Problem,66463,66463,mip1,10352819,350119603,0.0052100202200000001,0.31593160136954174,0.0028736332416,0.21192118673000004,0.032672013342808004,0.0028979964499999994,0.03165406442,0.03236134785893648,0.0028979964499999994,0.00356129375
