matrix,matrix_domain,matrix_m,matrix_n,matrix_name,matrix_nnz,matrix_size,normal_spmv_time,oski_mean_max_error,oski_mean_spmv_time,oski_mean_time,phil_mean_max_error,phil_mean_spmv_time,phil_mean_time,pphil_mean_max_error,pphil_mean_spmv_time,pphil_mean_time
af_shell10_conv,Structural,1508065,1508065,af_shell10,52672325,1953468435,0.01171265593,0.004321601529457896,0.010123368150000011,1.2443115443900001,0.02558945035210268,0.010123368150000011,0.03026263838,0.026023809450297263,0.010123368150000011,0.0042864137
pathological_phil,Synthetic,120000,120000,pathological_PHIL,14499856,205187296,0.0033608073500000003,0.03980189182922458,0.0027132605488999987,0.30660281567000003,0.05032402648076264,0.002698946227399998,0.03248134689,0.04746482808281324,0.0026959230417999973,0.00465174251
kron_g500-logn17_conv,Graph,131072,131072,kron_g500-logn17,10228360,350580543,0.0064447003499999997,0.045410873903129895,0.00644470035,0.22466810080000002,0.004520476274935731,0.00644470035,0.02540484352,0.004244166959999801,0.00644470035,0.00382787868
nasasrb_conv,Structural,54870,54870,nasasrb,2677324,91141364,0.00059233620000000002,0.043997890619467475,0.00039082514520000043,0.05939035428,0.019563567314210925,0.00039034115000000037,0.02871277783,0.019330815483385305,0.00039034115000000037,0.0044226969
rail4284_conv,Linear Programming,1096894,4284,rail4284,11284032,381165123,0.0054664742300000006,0.38000839259187436,0.005555581460000011,0.28143264048000005,0.018553101002410363,0.005555581460000011,0.03847577395,0.017993179528880677,0.005555581460000011,0.00522631862
pdb1HYS_conv,Graph,36417,36417,pdb1HYS,4344765,148013404,0.00098259477000000022,0.04103307489723765,0.0005854115699999997,0.09349164595000001,0.023829880695533615,0.0005854115699999997,0.033481556430000003,0.02357111823895081,0.0005854115699999997,0.00464474247
F1_conv,Structural,343791,343791,F1,26837113,962345101,0.01113791848,0.021398461888487617,0.007715384279999988,0.59897228273,0.01910260339977588,0.007715384279999988,0.03466948501,0.019843055407066042,0.007715384279999988,0.00515199635
troll_conv,Structural,213453,213453,troll,11985111,419033501,0.0029259386200000004,0.029086908769848305,0.0020865863400000013,0.26861295834000004,0.024459032869126665,0.0020865863400000013,0.03094315745,0.023824653201516242,0.0020865863400000013,0.00435188598
pwtk_conv,Structural,217918,217918,pwtk,11634424,412785929,0.0026228050000000002,0.01813125049874173,0.0024092151300000027,0.25807796458000004,0.03510627351167147,0.0024092151300000027,0.030307361960000005,0.036152009540148654,0.0024092151300000027,0.004375017940000001
boneS10_conv,Model Reduction Problem,914898,914898,boneS10,55468422,2008964607,0.011778217930000001,0.009080326083467843,0.009713012069999994,1.25972643946,0.02622297215070996,0.009713012069999994,0.03386346195,0.0274240046096758,0.009713012069999994,0.0046213531
kkt_power_conv,Power Network,2063494,2063494,kkt_power,14612663,539458399,0.0070983731700000009,0.015073881379529346,0.007098373169999989,0.49702482551000005,0.00941707954241969,0.007098373169999989,0.02449459156,0.009845915397278037,0.007098373169999989,0.0038586587100000003
in2010_conv,Graph,267071,267071,in2010,1281716,45076214,0.00060139030999999999,0.015990233999451743,0.0006013903099999996,0.04571868222,0.008021544351408668,0.0006013903099999996,0.023528138320000003,0.00828158383604722,0.0006013903099999996,0.00348844671
pathological_oski,Synthetic,1000000,1000000,pathological_OSKI,6999994,76222308,0.00941853141,3.6666688888918575,0.008960542945,0.23884819129,0.011692395991538602,0.008372469250000012,0.027293562060000002,0.012994842039391554,0.008372469250000012,0.0041517251300000006
fcondp2_conv,Structural,201822,201822,fcondp2,11294316,393880319,0.0026916762700000003,0.02850048033064367,0.0019192925600000008,0.24972517464000002,0.022445473860481985,0.0019192925600000008,0.029984716640000002,0.022690167429909747,0.0019192925600000008,0.0048286035000000005
fem_hifreq_circuit_conv,Electromagnetics,491100,491100,fem_hifreq_circuit,20239237,725640631,0.0055153309900000001,0.01430777163791859,0.004566551169999992,0.4746326893200001,0.016365508464409362,0.004566551169999992,0.027553951170000004,0.016416562267696697,0.004566551169999992,0.004370665500000001
nd6k_conv,2D/3D Problem,18000,18000,nd6k,6897316,228193610,0.0017528275800000001,0.0287007917020447,0.0012816741899999986,0.14773676396000002,0.031033845779030983,0.0012858288963999986,0.03789794711,0.030456637438914646,0.0012837515431999987,0.00480241888
spal_004_conv,Linear Programming,321696,10203,spal,46168124,1549783502,0.016915007410000002,0.025259378565449023,0.016567904770000027,1.05973342555,0.015025894713964203,0.016567904770000027,0.05467408277000001,0.014839446318887207,0.016567904770000027,0.00664265675
fl2010_conv,Graph,484481,484481,fl2010,2346294,83383318,0.0013559584600000001,0.0098124066822967,0.0013559584600000005,0.07967928541000001,0.006752484512965678,0.0013559584600000005,0.02338774219,0.006840291422312096,0.0013559584600000005,0.0030669774300000003
