matrix,matrix_domain,matrix_name,matrix_nnz,matrix_size,oski_mean_max_error,oski_mean_spmv_time,oski_mean_time,phil_mean_max_error,phil_mean_spmv_time,phil_mean_time,normal_spmv_time
3dtube_conv,Computational Fluid Dynamics,3dtube,3213618,54635978,0.019568267212312564,0.00019586801528930644,0.010203480613403322,0.04141609148133259,0.00019586801528930644,0.0007001689192199711,0.0002892780303955078
af_shell10_conv,Structural,af_shell10,52672325,1004276387,0.0029823794963963948,0.007517180442810052,0.19384322104507448,0.03649660901443834,0.00752342569828033,0.0013135295570373539,0.0070403504371643064
ASIC_680k_conv,Circuit Simulation,ASIC_680k,3871773,139498209,0.26814231784075454,0.0018258560180664071,0.02850294915130615,0.03040902632582091,0.0017761898040771493,0.0011129289219665528,0.0017761898040771485
bmw7st_1_conv,Structural,bmw7st_1,7339667,130568867,0.01638051919637147,0.0008222694873809812,0.02419950094848633,0.04010045875103965,0.0008223572731018064,0.0012167200120544433,0.00098853826522827138
cage13_conv,Graph,cage13,7479343,266573520,0.005880470906349327,0.002158451080322262,0.055743250968322756,0.031100316645689966,0.002158451080322262,0.001159198852233887,0.0021584510803222658
cfd2_conv,Computational Fluid Dynamics,cfd2,3087898,55947550,0.0098195132220501,0.0004204607009887695,0.013215200495758058,0.04435628249606529,0.0004204607009887695,0.0004965709785461426,0.00045408010482788085
cnr-2000_conv,Graph,cnr-2000,3216152,113551393,0.03484840102190371,0.001388940811157229,0.024740160849609377,0.04531982550339988,0.001388940811157229,0.000573829644622803,0.001302931308746338
ct20stif,Structural,ct20stif,2698463,35196877,0.02751609068127291,0.0004131793975830078,0.0087325593598938,0.0393163356296739,0.0004131793975830078,0.0005360593521118173,0.00036432981491088865
degme_conv,Linear Programming,degme,8127528,290454844,0.060541043918447564,0.002712579035758973,0.0510236104246521,0.026139226409081177,0.002692320346832276,0.00129338105758667,0.0026923203468322754
exdata_1_conv,Mathematical Optimization,exdata_1,2269501,36408172,0.046655341470262096,0.0006070562839508055,0.0063564092608642585,0.02303418315102951,0.0006235832452774043,0.0008530694679260253,0.0011711788177490234
F1_conv,Structural,F1,26837113,487249721,0.007054451654613679,0.003626458644866938,0.0870082801802063,0.03164619335474052,0.003626458644866938,0.0014653896417236333,0.0049443006515502933
G3_circuit_conv,Circuit Simulation,G3_circuit,7660826,172568266,0.003307292451047602,0.004235479831695549,0.064356219112854,0.036997341557055446,0.0038138833045959445,0.0006760589846801759,0.0027816987037658693
Ga41As41H72_conv,Other,Ga41As41H72,18488476,335735800,0.025017085235629958,0.0029220294952392546,0.06140231103042603,0.04384910248566935,0.0029220294952392546,0.0011603198509216317,0.0024914598464965822
gearbox_conv,Structural,gearbox,9080404,159182656,0.01024374369630507,0.000839080810546873,0.029946790573272705,0.037748303510800864,0.000839080810546873,0.0012576689424133303,0.0011125397682189941
gupta1_conv,Linear Programming,gupta1,2164210,36205948,0.018999941884557746,0.0002408909797668455,0.007192920696105958,0.03633209720912248,0.0002408909797668455,0.0005372904922485355,0.00022524118423461914
Hamrle3_conv,Circuit Simulation,Hamrle3,5514242,203173117,0.009810611378959739,0.004621341228485117,0.0654585288230896,0.0381002386174158,0.004621341228485117,0.0005426495904541018,0.0023251104354858397
inline_1_conv,Structural,inline_1,36816342,670621188,0.005163655213298829,0.003837981224060054,0.120796419198761,0.03685621800927419,0.003837981224060054,0.0013775004214477543,0.0044630503654479979
kkt_power_conv,Power Network,kkt_power,14612663,300248830,0.0038332866235548835,0.004370000362396249,0.09167655003173827,0.0219753424260024,0.004370000362396249,0.0011236507891845705,0.0043700003623962404
largebasis_conv,Mathematical Optimization,largebasis,5560100,107846833,0.008720763905991205,0.0010726618766784682,0.02263734932144165,0.039069383286621705,0.0010726618766784682,0.001087849255218506,0.0010128498077392578
ldoor_conv,Structural,ldoor,46522475,859173946,0.005507455346238048,0.006398770809173582,0.1516426404612732,0.0387738000657477,0.006392378997802733,0.0012586409898376466,0.0057867407798767086
nd24k_conv,Other,nd24k,28715634,491120932,0.0032732795001614956,0.002604849338531499,0.08490023970474243,0.0310412608782989,0.002604849338531499,0.0019974789581298836,0.0034194183349609375
parabolic_fem_conv,Computational Fluid Dynamics,parabolic_fem,3674625,75772034,0.008899136780238683,0.016497609615325964,0.021180420352630614,0.03175546735515668,0.016497609615325964,0.0005061691122436523,0.016497609615325929
pathological_oski,Synthetic,pathological_OSKI,69994,2022168,1.8004298630006923,0.00013756909370422362,0.0007874102003479006,0.023335742626295918,0.00011964082717895497,0.0007228494441223145,0.0001733112335205078
